name,dish,synset_ingredient,synset_dish,other_words
Subway,Subway Club - Footlong,set(),set(),"{'subway', 'description', 'club', 'footlong'}"
Subway,Gatorade Fruit Punch,set(),"{Synset('mixed_drink.n.01'), Synset('punch.n.02'), Synset('alcohol.n.01')}","{'fruit', 'gatorade'}"
Subway,Veggie Delite® Chopped Salad,"{Synset('vegetable.n.01'), Synset('meat.n.01'), Synset('produce.n.01'), Synset('cut.n.06'), Synset('chop.n.02')}","{Synset('salad.n.01'), Synset('dish.n.02')}","{'description', 'delite'}"
Subway,PowerAde® Mountain Berry,"{Synset('berry.n.01'), Synset('produce.n.01'), Synset('edible_fruit.n.01')}",set(),"{'powerade', 'mountain'}"
Subway,New Sweet & Smoky Steak & Guac Signature Wrap,"{Synset('meat.n.01'), Synset('steak.n.01'), Synset('cut.n.06')}","{Synset('course.n.07'), Synset('dessert.n.01'), Synset('sandwich.n.01'), Synset('dish.n.02'), Synset('snack_food.n.01'), Synset('wrap.n.02')}","{'new', 'description', 'signature', 'guac', 'smoky'}"
Subway,Chicken & Bacon Ranch Chopped Salad,"{Synset('poultry.n.02'), Synset('chop.n.02'), Synset('meat.n.01'), Synset('cut_of_pork.n.01'), Synset('cut.n.06'), Synset('bacon.n.01'), Synset('bird.n.02'), Synset('chicken.n.01')}","{Synset('salad.n.01'), Synset('dish.n.02')}","{'description', 'ranch'}"
Subway,Meatball Marinara - 6 Inch,set(),"{Synset('meatball.n.01'), Synset('marinara.n.01'), Synset('sauce.n.01'), Synset('flavorer.n.01'), Synset('ingredient.n.03'), Synset('spaghetti_sauce.n.01'), Synset('condiment.n.01'), Synset('dish.n.02')}","{'description', 'inch'}"
Subway,Tuna Chopped Salad,"{Synset('meat.n.01'), Synset('cut.n.06'), Synset('saltwater_fish.n.01'), Synset('chop.n.02'), Synset('seafood.n.01'), Synset('tuna.n.02')}","{Synset('salad.n.01'), Synset('dish.n.02')}",{'description'}
Subway,Make Any Sub a Signature Wrap,set(),"{Synset('snack_food.n.01'), Synset('sandwich.n.01'), Synset('dish.n.02'), Synset('bomber.n.03'), Synset('wrap.n.02')}","{'description', 'signature', 'make'}"
Subway,"Black Forest Ham, Egg & Cheese - 6 Inch","{Synset('cut.n.06'), Synset('meat.n.01'), Synset('cut_of_pork.n.01'), Synset('ham.n.01'), Synset('cheese.n.01')}","{Synset('egg.n.02'), Synset('cheese.n.01'), Synset('dairy_product.n.01')}","{'description', 'inch', 'forest', 'black'}"
